Feature,Importance
BPQ020,0.12576618008370777
BPQ090D,0.10731820435976187
MCQ160A,0.08030368188742677
RIDAGEYR,0.06620336918077248
BPQ080,0.05966695560475472
LBXPFNA,0.04714347118498757
URXUCD,0.043743938672017285
LBXMFOS,0.03663378102974256
SMQ020,0.03264592471450978
LBXNFOS,0.030290517512777355
LBXGH,0.026759100154689488
LBXGLU,0.023000952032503914
LBXNFOA,0.017553869811721395
INDFMPIR,0.015489250763259372
LBXBCD,0.014786153418463626
LBXPFHS,0.01473639988314462
URXBDCP,0.013794348536529874
URXUPB,0.012875370803183739
PAD680,0.01198474954762229
URXUTL,0.011582708536072947
LBXTC,0.011162677676548336
URXUCO,0.011137005186928204
BPXOSY3,0.01102601873446821
LBDLDL,0.010985303010285705
LBXTR,0.010804438792743303
LBXBPB,0.010067791057641502
URXDPHP,0.010011583475971668
BMXWAIST,0.009526352067391521
BPXOSY1,0.009521959309618867
URXUSB,0.009366594037920221
LBXBSE,0.009169687509199132
URXUTU,0.009119450421321344
URXUBA,0.008881190659655794
URXBCEP,0.00871088749661776
BMXHT,0.00870825747878461
DR1TCAFF,0.008702260675289574
LBDHDD,0.0076767531340447455
LBXIN,0.00747761645726443
BMXWT,0.0072047236020727
BMXHIP,0.007105047215134878
BPXOSY2,0.007079981199971708
BMXBMI,0.00703623423684673
SMQ866,0.004380460465189535
SMQ856,0.0028587983814401924
